,Unnamed: 0,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
8897,8897,65.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,6.0,,,Đông Nam,Sổ hồng,21.0400942,105.9101303,2400.0,36.923077,5e5501fbeb80a7245176a791,Khu đô thị Sài Đồng,5e958ee9208d0d6d7648fccc,Phố Lệ Mật,,,5e5501cbeb80a7245175e110,Phường Phúc Lợi
8898,8898,82.0,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,8.0,,,,Sổ hồng,21.0388447,105.8761949,3100.0,37.804878,5e5501fbeb80a7245176a77c,HC Golden City,,,,,,
8899,8899,58.0,Đông Nam,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,Full nội thấy cao cấp.,Tây Bắc,Đang chờ bàn giao sổ.,21.0563597,105.8845478,1600.0,26.724137931034484,5e5501fbeb80a7245176a783,Khu đô thị Thượng Thanh,5e958ee9208d0d6d7648fcbb,Đường Thượng Thanh,,,5e5501cbeb80a7245175e109,Phường Thượng Thanh
8900,8900,68.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,8.0,,,,,21.0544004,105.9038204,1900.0,27.941176,,,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10b,Phường Giang Biên
8901,8901,82.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,8.0,,,,Sổ hồng,21.0388447,105.8761949,3100.0,37.804878,5e5501fbeb80a7245176a77c,HC Golden City,5e958ee9208d0d6d7648fb38,Đường Bồ Đề,,,5e5501cbeb80a7245175e111,Phường Bồ Đề
8902,8902,66.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,11.0,,,Tây Nam,Sổ đỏ,21.0575538,105.9024322,3000.0,45.454545,5e5501fbeb80a7245176a799,Việt Hưng,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8903,8903,116.0,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,,,21.0400942,105.9101303,2900.0,25.0,5e5501fbeb80a7245176a791,Khu đô thị Sài Đồng,,,,,5e5501cbeb80a7245175e112,Phường Sài Đồng
8904,8904,58.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,Tây-Bắc,,21.0563597,105.8845478,1600.0,26.724137931034484,5e5501fbeb80a7245176a77a,Hà Nội Homeland,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8905,8905,100.0,Đông Nam,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,"4 Điều hòa Daikin: 4 phòng ; 2 bình nóng lạnh ferroli ; bếp từ, lò nướng, lò vi sóng, hút mùi",Tây Nam,Đã có sổ đỏ.,21.0265121,105.8954477,2800.0,28.0,5e5501fbeb80a7245176a789,Northern Diamond,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8906,8906,78.0,,1.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,1.0,,,,,21.0575538,105.9024322,3000.0,38.461538,5e5501fbeb80a7245176a799,Việt Hưng,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8907,8907,83.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,KXĐ,,21.0655098,105.8806327,2075.0,25.0,5e5501fbeb80a7245176a784,Le Grand Jardin Sài Đồng,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8908,8908,99.0,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,5.0,,,,Sổ hồng,21.0575538,105.9024322,1750.0,17.676768,5e5501fbeb80a7245176a799,Việt Hưng,5e958ee9208d0d6d7648fc04,Đường Nguyễn Cao Luyện,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8909,8909,71.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,21.0,,,,Hợp đồng mua bán,21.0371784,105.8730678,2796.0,39.380282,,,,,,,,
8910,8910,37.5,Đông-Nam,1.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,3.0,,Full liền tường.,,Đang làm sổ đỏ.,21.0489082,105.9176411,1580.0,42.13333333333333,,,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8911,8911,87.0,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,3.0,,,,Hợp đồng mua bán,21.0388447,105.8761949,3389.0,38.954023,5e5501fbeb80a7245176a77c,HC Golden City,,,,,,
8912,8912,71.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,21.0,,,,,21.0379429,105.8770127,2790.0,39.295775,,,5e958ee9208d0d6d7648fcca,Phố Hồng Tiến,,,5e5501cbeb80a7245175e111,Phường Bồ Đề
